Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
2452;expert;zizheng;2021;0;3;1;3479
2453;master;Amane Suzuki;2018;1;3;3;3478
2454;expert;Graaaf;2021;1;0;1;3476
2455;expert;yasuhillo;2016;0;2;1;3471
2456;expert;Eugene Fedorov;2018;1;1;0;3471
2457;expert;twhsu;2021;0;2;0;3471
2458;expert;gcpyobcmst;2019;0;3;0;3469
2459;expert;Naman Jaswani;2020;0;2;2;3467
2460;expert;Karthick;2016;0;0;3;3466
2461;expert;BONED DD;2021;0;2;0;3466
2462;expert;navi;2017;0;0;2;3465
2463;expert;wanghao;2019;0;2;0;3464
2464;expert;MN;2019;0;3;1;3462
2465;expert;Shun Fukuda;2018;0;2;0;3459
2466;expert;yzhao;2020;1;0;1;3454
2467;expert;sRoger;2020;0;2;0;3454
2468;expert;Guillermo García Cobo;2021;0;2;1;3454
2469;master;Ovsov Nikita;2017;1;3;0;3453
2470;expert;Kon;2019;0;4;1;3452
2471;expert;Nilabha Bhattacharya;2015;0;1;6;3450
2472;expert;Bulat Zagidullin;2017;0;2;1;3450
2473;master;fugusuki;2015;3;4;2;3449
2474;grandmaster;ChenglongChen;2013;5;11;6;3448
2475;expert;XY;2018;0;3;1;3448
2476;expert;SeraphZhang;2021;0;2;0;3448
2477;expert;Chang-Shu Chung;2015;0;1;2;3446
2478;expert;Hiromitsu Kigure;2019;0;1;1;3446
2479;expert;YGSEO;2016;0;0;2;3443
2480;expert;Chizuchizu;2019;0;2;2;3443
2481;expert;Nikita Konodyuk;2018;0;5;0;3442
2482;master;chen;2016;2;5;3;3441
2483;expert;GH.Zhang;2021;0;3;0;3441
2484;expert;Tarun Paparaju;2018;0;0;3;3440
2485;master;Karachun Michael;2016;1;6;4;3435
2486;expert;Nikita Kuzmin;2019;0;2;5;3432
2487;expert;matt p;2015;0;0;3;3431
2488;master;rnrq;2016;1;2;4;3429
2489;expert;Jacques Peeters;2016;0;4;2;3425
2490;expert;Oleg Shapovalov;2018;1;1;1;3425
2491;expert;Taebong Moon;2017;0;1;1;3419
2492;master;PaulTodo;2016;1;3;1;3418
2493;expert;Alex Gaziev;2017;0;3;1;3418
2494;expert;Tadeusz Hupa?o;2018;0;1;2;3417
2495;expert;Simon;2021;0;1;1;3412
2496;expert;Anand Selvadurai;2018;0;0;3;3411
2497;expert;Tverdov Konstantin;2018;0;1;3;3410
2498;master;Arnaud Roussel;2018;1;2;0;3409
2499;expert;Lilin Chen;2020;0;0;2;3408
2500;expert;Jacek Poplawski;2017;2;0;0;3404
2501;expert;bk_18;2019;1;0;1;3402
2502;master;Aleksey Nozdryn-Plotnicki;2011;4;0;2;3401
2503;expert;Maxim Golovatchev;2018;0;0;2;3401
2504;expert;Stephen Lau;2019;0;1;1;3397
2505;expert;Vladimir Osin;2016;0;3;8;3393
2506;expert;pupilshuo;2020;0;1;1;3392
2507;expert;statsu;2019;0;2;0;3389
2508;master;Sava Kalbachou;2016;2;1;2;3387
2509;expert;euro0217;2020;0;1;1;3386
2510;expert;tamref;2016;1;1;4;3385
2511;expert;Summer;2021;0;2;0;3385
2512;expert;???SuYuChen;2020;0;1;1;3384
2513;expert;tn;2016;0;1;1;3383
2514;expert;Catalin Murarita;2019;0;0;2;3380
2515;expert;Anton Semenistyy;2020;0;0;2;3380
2516;expert;Lingo;2020;0;1;1;3379
2517;expert;Mackellis;2021;0;3;0;3376
2518;expert;000wangbo;2018;0;1;1;3372
2519;expert;TianLong Ye;2021;0;1;2;3370
2520;expert;Mohammed Sabry;2019;0;1;1;3368
2521;expert;Shivam Johri;2020;0;1;1;3366
2522;expert;Mikhail Edukov;2019;0;1;4;3364
2523;expert;ctlaltdefeat;2017;2;0;0;3362
2524;expert;Zuoyu Miao;2018;0;3;0;3362
2525;expert;Igor Kirko;2019;0;1;1;3355
2526;expert;PengBo;2016;0;1;1;3352
